,CURRENTCLUB
PlayerId,ClubId
254016,855
51053,23
31451,23
44622,3691
30802,3302
214776,43
117549,3302
186796,3302
273812,4750
243827,9007
220795,1435
9796,2700
273548,1435
235349,964
90255,9007
217026,964
255431,12438
88609,12438
130196,9007
15379,12438
15117,964
232598,12438
121327,3008
96898,2700
104941,3008
73566,3008
45631,3008
14013,3008
6107,3008
3989,12438
260731,12438
38768,12438
282785,12438
98122,12438
48534,12438
146476,12438
297034,12438
260673,12438
297032,12438
44432,12438
297031,12438
207525,12438
15907,12438
26683,12438
42621,12438
85563,9007
29745,12438
15730,12438
53719,12438
55743,12438
36298,12438
297033,12438
15747,12438
88614,12438
297029,12438
26946,3008
262723,964
25001,12438
159375,1435
191399,1435
229398,1435
71084,1435
91330,3008
19712,964
110879,1435
279467,1435
49143,1063
36262,1063
33931,1063
106628,12438
268214,1435
61912,1063
75871,1063
22473,1063
170606,964
255897,1063
103952,1063
285065,12438
57581,1063
253751,133
202622,1063
21515,133
82555,1063
55627,133
82926,133
230495,1435
59913,9007
457583,9007
37301,9007
45587,9007
57900,9007
140561,9007
293106,9007
9779,9007
48508,2700
155050,2700
255913,1063
110326,2700
20232,2700
285424,2700
37247,2700
297011,2227
144771,2700
297009,2227
297005,2227
58950,2227
4471,133
278515,133
177010,2227
24057,1063
59985,2227
265930,2227
325801,2227
177291,2227
41362,2227
100553,133
297007,2227
257817,2227
42933,2227
92575,2227
297002,2227
39792,2227
184930,2227
297016,2227
75109,2227
24011,2227
15067,2227
297017,2227
59984,6994
43276,6994
59964,6994
69634,133
297015,2227
75631,6994
42803,6994
57748,6994
29193,3302
173559,3302
251537,2700
35546,3302
76743,3302
72883,3302
48294,3302
26801,3302
298658,2227
271446,3302
3755,3302
179844,43
21750,2410
74561,3302
93118,43
155893,2410
44072,3302
15591,2410
170607,2410
22746,3691
298659,2227
26771,3691
15645,3691
260595,3691
65682,3691
46602,3691
60323,6994
98537,3691
213692,2410
218471,3691
25866,3691
27193,3691
6065,3691
25036,3691
45220,3691
74725,3691
15974,3302
293941,4750
25635,3691
98824,3691
160683,4750
405720,4750
15260,3691
23340,4750
51877,3691
17328,4750
100089,4750
45371,4750
14515,4750
175664,4750
5967,4750
213048,4750
45617,4750
96790,4750
95255,4750
92111,23
13867,4750
53424,23
1659,23
109793,23
107872,23
34232,23
30391,2410
109792,23
147049,23
18379,23
42974,23
51106,23
104990,4750
40116,23
36255,23
42086,23
292501,23
31599,23
18290,23
12112,4750
6287,23
297006,2227
2386,23
225616,855
45264,855
6274,855
1613,855
78390,23
35405,23
1944,23
140702,3691
308213,2292
193680,20100
264770,2293
242235,1210
110929,1210
197480,800
34345,416
136114,800
257127,252
159153,252
199795,252
31493,5817
50628,5817
111042,4750
55597,23
273949,141
8399,141
163675,1210
209864,410
240218,252
199793,252
35252,19771
200119,19771
114139,19771
265082,19771
86506,19771
58861,19771
69445,19771
163058,410
208602,19771
28283,19771
265092,19771
238045,19771
197919,410
159809,19771
159890,19771
114739,19771
159789,19771
208599,19771
76438,19771
60614,19771
54183,410
22169,5817
213952,410
123638,410
138394,410
73408,410
240409,410
81192,410
197918,410
85667,141
241069,410
163088,410
240397,410
22469,5817
168477,410
288181,5817
6046,252
243819,252
138456,410
104233,141
281658,252
214003,252
15888,252
248651,252
290696,252
154215,252
83891,252
88712,252
204070,252
240196,252
242242,252
260781,252
37889,252
13058,141
63254,252
182937,19771
78506,252
163078,410
113612,416
234884,252
287254,416
163597,416
186380,252
199001,416
249166,416
163628,6574
82751,6574
208693,6574
199040,6574
240658,6574
163627,6574
167853,252
43085,6574
199064,6574
163630,6574
41935,6574
10152,19771
9915,6574
240675,6574
85603,800
199800,252
22130,6574
163565,800
62751,800
197484,800
124155,6574
287681,800
163549,416
140189,252
163581,800
163553,800
200117,800
95234,800
25318,800
5507,800
197482,800
211397,1210
197333,800
66022,1210
29424,1210
240129,1210
240077,1210
163676,1210
207943,800
132002,1210
47646,1210
43271,1210
82834,1210
28818,1210
16891,1210
197474,800
248695,1210
130503,1210
75611,416
21988,1210
72471,1210
37413,1210
101913,1210
28007,1210
202973,800
5853,1210
735,1210
85484,1210
32941,2293
49644,2293
82364,2293
33233,2293
199383,2293
184131,2293
309850,2293
95089,2293
85227,2293
144456,2293
199337,2293
199328,2293
157177,2293
6912,2293
311075,2293
170649,2293
113134,20100
15386,20100
36786,20100
23292,20100
15047,20100
276,20100
123296,20100
64615,20100
4075,2292
19953,2292
185823,2292
197476,800
29412,2292
3413,2292
281829,1210
251484,2292
27667,2292
7153,2292
301677,2292
202834,800
69816,2292
114466,2292
34171,2292
306208,2292
175596,2293
294197,2292
301666,2292
185922,2292
307494,2292
35029,2292
83692,2292
15454,2292
199196,1210
28023,1210
301813,2292
27539,2292
287417,2292
77005,2292
73934,398
162957,398
287762,130
122637,1627
67566,2292
61863,1627
199758,1627
114493,126
192035,126
155036,1038
240955,1038
58761,126
216172,430
45644,1038
167889,1038
47005,1390
167876,1038
157979,1506
22741,1506
229807,524
249061,1038
296960,524
162946,1038
35278,524
72491,46
40059,524
90935,524
7023,524
253331,524
293513,524
257249,524
58830,524
29678,524
3059,524
323241,524
162939,46
58661,524
114508,524
7397,524
69005,524
110693,524
7311,524
189236,46
323163,524
163673,46
169850,6894
159029,6894
131918,6894
22202,46
115793,6894
291669,6894
128352,6894
33809,6894
46340,524
33794,6894
9800,524
39564,6894
8680,6894
8740,6894
34169,6894
36877,6894
266950,46
76895,46
124651,6894
159720,1038
42733,6894
139436,46
290417,46
200195,46
287633,1038
126114,46
290416,46
5938,46
4314,46
176182,46
213068,1506
43084,1038
290876,1390
213179,1390
197272,1390
39829,1390
167896,1038
199583,46
1161,46
52999,1038
86640,1038
213028,1506
167877,1038
228949,524
85896,6894
248301,1038
43333,1038
254701,126
162955,1038
49292,126
56372,126
165717,126
140026,126
208584,126
85686,126
83469,126
238214,126
59151,126
301571,126
125710,1627
183845,1627
3132,126
183029,1627
29819,126
5667,1506
199761,1627
105625,1627
37731,1627
124909,1038
5890,1627
240303,1627
239667,1627
138110,1627
8490,126
55993,1627
19946,1627
220785,1627
199757,1627
89027,1627
170712,1627
194908,1627
308778,1627
38584,1627
230826,46
168188,1627
239673,1627
5768,430
5818,430
67084,1627
256323,430
199763,1627
168951,130
22131,130
251282,130
210631,130
234887,130
213590,1627
28027,130
197307,430
5925,1627
168211,398
127220,398
109550,398
248861,130
167378,398
74354,398
241479,398
199749,398
127224,398
186664,1627
52918,398
199747,398
9091,430
7103,862
213247,589
202245,589
6053,825
216214,114
235948,114
282558,36
144807,398
101425,276
127643,276
38646,276
73932,398
108541,12
176023,12
15342,12
238950,12
296913,820
77655,678
131678,678
5892,678
49681,2381
14971,678
55389,2381
41426,2381
301758,2381
51225,2381
24282,678
38341,2381
28992,2381
287943,2381
241135,276
28775,20
324178,2381
44972,2381
