PlayerId,ClubId,PlayerName,Citizenship,Date_of_birth,Position,Foot,Height_in_cm,Highest_market_value_in_gbp
254016,855,Arthur Delalande,France,1992-05-18,Midfield,Right,186,90000
51053,23,Daniel Davari,Iran,1988-01-06,Goalkeeper,Right,192,1130000
31451,23,Torsten Oehrl,Germany,1986-01-07,Attack,Right,192,1130000
44622,3691,Vladimir Kisenkov,Russia,1981-10-08,Defender,Right,182,720000
30802,3302,Oscar Diaz,Spain,1984-04-24,Attack,Right,183,1080000
214776,43,Paul Mccallum,England,1993-07-28,Attack,Right,191,135000
117549,3302,Rodri Rios,Spain,1990-06-06,Attack,Right,174,1800000
186796,3302,Hicham Khaloua,Morocco,1995-05-07,Attack,Right,174,360000
273812,4750,Francis Kone,Togo,1990-11-22,Attack,Right,189,225000
243827,9007,Olavale Fabunmi,Ukraine,1992-01-18,Midfield,Right,187,
220795,1435,Guyon Philips,Netherlands,1993-10-15,Attack,Both,193,180000
9796,2700,Oleksandr Aliyev,Ukraine,1985-02-03,Attack,Both,173,9000000
273548,1435,Maurice De Ruiter,Netherlands,1991-08-14,Attack,Left,186,45000
235349,964,Artem Simonyan,Armenia,1995-02-20,Attack,Both,178,675000
90255,9007,Frantisek Kubik,Slovakia,1989-03-14,Attack,Left,181,720000
217026,964,Pavel Kireenko,Russia,1994-06-14,Attack,Left,175,450000
255431,12438,Ilya Belous,Russia,1995-01-01,Attack,Right,187,360000
88609,12438,Artem Danilenko,Russia,1990-03-22,Attack,Right,182,270000
130196,9007,Yevgen Kolesnyk,Ukraine,1990-01-13,Midfield,Right,178,68000
15379,12438,Dmitri Bulykin,Russia,1979-11-20,Attack,,0,3600000
15117,964,Konstantin Zyryanov,Russia,1977-10-05,Midfield,Right,176,7920000
232598,12438,Mulumba Mukendi,DR Congo,1985-05-27,Attack,Right,193,540000
121327,3008,Matthew Fletcher,Australia,1992-06-01,Attack,Both,181,135000
96898,2700,Alan Gatagov,Russia,1991-01-23,Midfield,Left,181,1800000
104941,3008,Gedo,Egypt,1984-10-30,Attack,Right,184,1800000
73566,3008,Cameron Stewart,England,1991-04-08,Attack,Right,172,675000
45631,3008,Aaron Mclean,England,1983-05-25,Attack,Right,171,1130000
14013,3008,Matty Fryatt,England,1986-03-05,Attack,Right,178,3150000
6107,3008,Abdoulaye Faye,Senegal,1978-02-26,Defender,Left,187,3600000
3989,12438,Dmitri Sychev,Russia,1983-10-26,Attack,Right,176,9000000
260731,12438,Evgeniy Kozlov,Russia,1995-02-04,Attack,Left,178,315000
38768,12438,Luton Shelton,Jamaica,1985-11-11,Attack,Left,183,2430000
282785,12438,Sergey Garanzha,Russia,1995-01-14,Attack,Right,179,180000
98122,12438,Matija Dvornekovic,Croatia,1989-01-01,Attack,Right,177,225000
48534,12438,Aleksandr Shulenin,Russia,1979-10-31,Attack,Both,178,405000
146476,12438,Artur Minosyan,Russia,1989-08-04,Attack,Both,178,225000
297034,12438,Ilya Petrov,Russia,1995-06-27,Midfield,Left,177,540000
260673,12438,Roman Kuzovkin,Russia,1994-10-19,Midfield,Right,176,45000
297032,12438,Nikita Nikolaev,Russia,1996-02-24,Defender,Left,173,90000
44432,12438,Adrian Ropotan,Romania,1986-05-08,Midfield,Right,183,2700000
297031,12438,Evgeniy Degtyarev,Russia,1993-02-07,Midfield,Both,172,203000
207525,12438,Dmitri Mikhaylenko,Russia,1995-01-06,Midfield,Left,172,68000
15907,12438,Andrey Karyaka,Russia,1978-04-01,Attack,Right,180,2700000
26683,12438,Mihaita Plesan,Romania,1983-02-19,Midfield,Right,185,1580000
42621,12438,Vitalie Bordian,Moldova,1984-08-11,Defender,Both,178,1800000
85563,9007,Dominic Adiyiah,Ghana,1989-11-29,Attack,Right,172,900000
29745,12438,Piotr Polczak,Poland,1986-09-25,Defender,Right,192,540000
15730,12438,Evgeni Aldonin,Russia,1980-01-22,Midfield,Right,179,3600000
53719,12438,Ariel Borysiuk,Poland,1991-07-29,Midfield,Right,180,2250000
55743,12438,Simeon Bulgaru,Moldova,1985-05-26,Defender,Right,186,585000
36298,12438,Marcin Kowalczyk,Poland,1985-04-09,Defender,Right,182,1620000
297033,12438,Fedor Osin,Russia,1994-02-10,Goalkeeper,Right,190,
15747,12438,Sergei Pareiko,Estonia,1977-01-31,Goalkeeper,Right,193,900000
88614,12438,Mikhail Komarov,Russia,1984-04-03,Goalkeeper,Right,194,90000
297029,12438,Aleksey Chubukin,Russia,1995-02-21,Defender,Right,184,158000
26946,3008,Robert Koren,Slovenia,1980-09-20,Attack,Right,176,2880000
262723,964,Mikhail Mzhelskiy,Russia,1995-03-29,Goalkeeper,Right,202,135000
25001,12438,Denis Kolodin,Russia,1982-01-11,Defender,Right,185,5400000
159375,1435,Joeri Schroijen,Netherlands,1991-01-18,Attack,Left,178,450000
191399,1435,Omar Kavak,Netherlands,1988-10-24,Attack,,178,68000
229398,1435,Kevin Spanjaard,Netherlands,1992-07-23,Attack,Right,187,45000
71084,1435,Joran Pot,Netherlands,1989-01-20,Midfield,Right,177,90000
91330,3008,Conor Henderson,Ireland,1991-09-08,Midfield,Left,183,270000
19712,964,Aleksandar Lukovic,Serbia,1982-10-23,Defender,Left,185,4500000
110879,1435,Patrick Ter Mate,Netherlands,1992-02-17,Goalkeeper,Right,185,68000
279467,1435,Tom Oostinjen,Netherlands,1991-09-16,Midfield,Both,186,90000
49143,1063,Ken Fagerberg,Sweden,1989-01-09,Attack,Right,185,1080000
36262,1063,Wilton Figueiredo,Brazil,1982-03-17,Attack,Right,183,2700000
33931,1063,Ousmane Sarr,Senegal,1986-08-02,Midfield,Left,187,675000
106628,12438,Dmitri Polyanin,Russia,1980-03-30,Defender,Right,176,180000
268214,1435,Joost Krijns,Netherlands,1993-05-08,Defender,,0,45000
61912,1063,Andreas Hagen,Norway,1986-02-16,Midfield,Right,186,135000
75871,1063,Markus Gustafsson,Sweden,1989-03-06,Midfield,Left,183,360000
22473,1063,Simon Nagel,Denmark,1985-07-05,Midfield,Right,175,360000
170606,964,Stepan Rebenko,Russia,1995-05-01,Defender,Right,181,248000
255897,1063,Lasse Andersen,Denmark,1995-05-24,Defender,Left,0,113000
103952,1063,Mike Grella,United States,1987-01-23,Midfield,Right,180,855000
285065,12438,Kirill Zubkov,Russia,1994-07-24,Midfield,Right,180,90000
57581,1063,Michal Peskovic,Slovakia,1982-02-08,Goalkeeper,Right,188,540000
253751,133,Alexander Christovao,Angola,1993-03-14,Attack,Both,186,180000
202622,1063,Patrick Bang Nielsen,Denmark,1988-10-10,Defender,Left,182,315000
21515,133,Paul Mulders,Philippines,1981-01-16,Attack,Right,182,270000
82555,1063,Tobias Perch Nielsen,Denmark,1989-08-30,Attack,Left,183,315000
55627,133,Bart Van Brakel,Netherlands,1987-04-05,Midfield,Right,170,225000
82926,133,Leon Broekhof,Netherlands,1988-05-14,Defender,Left,190,405000
230495,1435,Michel Gerritsen Mulkes,Netherlands,1991-07-23,Defender,,188,45000
59913,9007,Artem Stargorodskyi,Ukraine,1982-01-17,Midfield,Right,179,450000
457583,9007,Dimitri Swisch,Germany,,Midfield,,0,
37301,9007,Veli Lampi,Finland,1984-07-18,Defender,Right,182,540000
45587,9007,Rafael Santos,Brazil,1984-11-10,Defender,Left,188,630000
57900,9007,Vyacheslav Serdyuk,Ukraine,1985-01-28,Defender,Left,184,720000
140561,9007,Michael Odibe,Nigeria,1988-06-23,Defender,Right,189,1350000
293106,9007,Georgi Kopaliani,Ukraine,1994-03-07,Goalkeeper,,192,
9779,9007,Vitaliy Reva,Ukraine,1974-11-19,Goalkeeper,Right,182,450000
48508,2700,Makhach Gadzhiev,Russia,1987-10-18,Midfield,Both,181,1910000
155050,2700,Sharif Mukhammad,Afghanistan,1990-03-21,Midfield,Right,184,315000
255913,1063,Simon Vetter,Denmark,1995-05-21,Attack,,0,45000
110326,2700,Jucilei,Brazil,1988-04-06,Midfield,Right,186,9900000
20232,2700,Benoit Angbwa,Cameroon,1982-01-01,Defender,Right,176,3150000
285424,2700,Islam Suleymanov,Russia,1993-06-02,Defender,Left,173,
37247,2700,Vadim Demidov,Norway,1986-10-10,Defender,Right,186,3150000
297011,2227,Oleksiy Mosendz,Ukraine,1994-06-29,Attack,Right,172,23000
144771,2700,Murad Qurbanov,Russia,1992-03-22,Defender,,0,90000
297009,2227,Oleg Kramarenko,Ukraine,1994-08-27,Attack,Right,170,
297005,2227,Ivan Glyvyi,Ukraine,1994-08-04,Attack,Right,180,90000
58950,2227,Volodymyr Korobka,Ukraine,1989-07-22,Attack,Right,186,540000
4471,133,Robert Van Boxel,Netherlands,1983-01-20,Defender,Right,188,405000
278515,133,Jeremy De Graaf,Netherlands,1990-01-25,Attack,Left,183,68000
177010,2227,Sergey Melnik,Russia,1993-06-25,Attack,Right,172,90000
24057,1063,Fredrik Stoor,Sweden,1984-02-28,Defender,Right,184,1350000
59985,2227,Yevgen Santrapynskykh,Ukraine,1987-10-21,Midfield,Both,174,270000
265930,2227,Maksim Prikhodnoy,Russia,1992-10-27,Midfield,,182,270000
325801,2227,Oleksiy Tyshchenko,Ukraine,1994-07-21,Midfield,Right,186,68000
177291,2227,Stanislav Prychynenko,Russia,1991-06-26,Midfield,Right,182,630000
41362,2227,Gustav Svensson,Sweden,1987-02-07,Midfield,Right,184,3150000
100553,133,Johnny De Vries,Netherlands,1990-02-20,Midfield,Right,179,90000
297007,2227,Dmytro Klochko,Ukraine,1994-01-01,Defender,,175,45000
257817,2227,Dmitri Matvienko,Russia,1992-05-25,Defender,Right,181,270000
42933,2227,Anis Boussaidi,Tunisia,1981-04-10,Defender,Right,180,1350000
92575,2227,Yuriy Gabovda,Ukraine,1989-05-06,Defender,Right,181,630000
297002,2227,Izzet Bilyalov,Ukraine,1995-01-13,Attack,,0,
39792,2227,Marin Ljubicic,Croatia,1988-07-15,Midfield,Right,186,810000
184930,2227,Mohammed Aliyu,Nigeria,1993-02-12,Defender,Left,172,180000
297016,2227,Zoltan Szilvasi,Hungary,1993-06-20,Defender,Right,185,
75109,2227,Celio Santos,Brazil,1987-07-20,Defender,Left,189,540000
24011,2227,Boban Grncarov,North Macedonia,1982-08-12,Defender,Right,192,765000
15067,2227,Maksym Kalynychenko,Ukraine,1979-01-26,Midfield,Both,176,6750000
297017,2227,Kostiantyn Sumelidi,Ukraine,1994-01-06,Defender,,0,
59984,6994,Taras Lazarovych,Ukraine,1982-04-22,Attack,Right,175,630000
43276,6994,Junior,Brazil,1978-09-20,Attack,Left,184,630000
59964,6994,Yevgen Pisotskyi,Ukraine,1987-04-22,Midfield,Right,182,1350000
69634,133,Oliver Feldballe,Denmark,1990-04-03,Midfield,Left,185,315000
297015,2227,Roman Shpytsya,Ukraine,1995-01-10,Midfield,,176,
75631,6994,Milos Jokic,Serbia,1987-06-07,Midfield,Left,186,270000
42803,6994,Milan Ilic,Serbia,1987-05-12,Defender,Right,192,360000
57748,6994,Matheus Lopes,Brazil,1985-03-08,Defender,Left,190,540000
29193,3302,Ruben Suarez,Spain,1979-02-19,Attack,Left,168,1350000
173559,3302,Cristobal Gil,Spain,1992-02-05,Attack,Right,171,270000
251537,2700,Yuri Udunyan,Russia,1994-08-25,Midfield,Right,173,248000
35546,3302,Rafita,Spain,1982-08-18,Defender,Right,175,1080000
76743,3302,Marcelo Silva,Uruguay,1989-03-21,Defender,Right,185,900000
72883,3302,Hans Martinez,Chile,1987-01-04,Defender,Right,178,720000
48294,3302,Bolano,Spain,1985-10-15,Defender,Left,182,1800000
26801,3302,Hernan Pellerano,Argentina,1984-06-04,Defender,Right,183,3600000
298658,2227,Mykola Dudarenko,Ukraine,1995-01-31,Defender,,180,23000
271446,3302,Kiutm,"Korea, South",1995-01-04,Attack,Both,166,270000
3755,3302,Oscar Ustari,Argentina,1986-07-03,Goalkeeper,Right,183,6300000
179844,43,Callum Tapping,Scotland,1993-06-05,Midfield,Right,178,135000
21750,2410,Mark Gonzalez,Chile,1984-07-10,Attack,Left,176,6300000
74561,3302,Victor Ibanez,Spain,1989-04-21,Goalkeeper,Right,191,270000
93118,43,David Smith,Scotland,1993-03-01,Defender,Right,180,90000
155893,2410,Armen Ambartsumyan,Armenia,1994-04-11,Midfield,Left,177,293000
44072,3302,Marcos Tebar,Spain,1986-02-07,Midfield,Right,185,1350000
15591,2410,Elvir Rahimic,Bosnia-Herzegovina,1976-04-04,Midfield,Right,191,2700000
170607,2410,Sergey Revyakin,Russia,1995-04-02,Goalkeeper,Right,189,270000
22746,3691,Nikita Bazhenov,Russia,1985-02-01,Attack,Right,179,2160000
298659,2227,Vasyl Grinka,Ukraine,1992-12-06,Defender,,0,
26771,3691,Jan Holenda,Czech Republic,1985-08-22,Attack,Right,186,1800000
15645,3691,Maksim Astafjev,Russia,1982-12-08,Attack,Right,171,630000
260595,3691,Sultan Aksanov,Russia,1993-08-19,Attack,Right,176,45000
65682,3691,Valeri Sorokin,Russia,1985-01-06,Midfield,Right,178,810000
46602,3691,Gabriel Muresan,Romania,1982-02-13,Midfield,Right,188,2069999
60323,6994,Anton Monakhov,Russia,1982-01-31,Defender,Right,193,900000
98537,3691,Yuri Petrakov,Russia,1991-01-27,Midfield,Right,178,180000
213692,2410,Maksim Martusevich,Russia,1995-03-07,Midfield,Right,178,315000
218471,3691,Yaroslav Ovsyannikov,Russia,1993-05-14,Defender,Left,171,158000
25866,3691,Aleksandr Orekhov,Russia,1983-11-29,Defender,Right,198,1800000
27193,3691,Sergey Omeljanchuk,Belarus,1980-08-08,Defender,Right,178,630000
6065,3691,Martin Jiranek,Czech Republic,1979-05-25,Defender,Right,190,4680000
25036,3691,Renat Sabitov,Russia,1985-06-13,Defender,Right,186,1350000
45220,3691,Plamen Nikolov,Bulgaria,1985-06-12,Defender,Both,191,720000
74725,3691,Kornel Salata,Slovakia,1985-01-24,Defender,Right,191,1800000
15974,3302,Esteban,Spain,1975-06-27,Goalkeeper,Both,177,2700000
293941,4750,Murilo,Brazil,1995-03-08,Attack,Right,180,360000
25635,3691,Petr Vasek,Czech Republic,1979-04-09,Goalkeeper,,190,720000
98824,3691,Eugen Sidorenco,Moldova,1989-03-19,Attack,Right,180,270000
160683,4750,Mirko Bigazzi,Italy,1989-04-03,Attack,Both,183,225000
405720,4750,Diego Goncalves,Brazil,1994-07-22,Attack,Right,182,450000
15260,3691,Zhivko Milanov,Bulgaria,1984-07-15,Defender,Right,177,1620000
23340,4750,Rui Duarte,Portugal,1978-09-16,Attack,Right,175,720000
51877,3691,Aleksey Aravin,Russia,1986-07-09,Defender,Right,185,540000
17328,4750,Paulo Sergio,Portugal,1984-01-24,Attack,Both,168,990000
100089,4750,Paulo Regula,Portugal,1989-12-03,Attack,Right,184,540000
45371,4750,Celestino,Portugal,1987-01-02,Midfield,Right,177,900000
14515,4750,Luis Filipe,Portugal,1979-06-14,Defender,Right,179,900000
175664,4750,Gerson Fidalgo,Portugal,1993-03-20,Midfield,Both,173,90000
5967,4750,Anthony Seric,Croatia,1979-01-15,Defender,Left,183,2069999
213048,4750,Tin Karamatic,Croatia,1993-03-01,Defender,Right,190,135000
45617,4750,Joao Ribeiro,Portugal,1987-08-13,Attack,Right,176,1800000
96790,4750,Sebastian Mladen,Romania,1991-12-11,Defender,Right,186,900000
95255,4750,Vitor Bastos,Portugal,1990-05-01,Defender,Right,190,630000
92111,23,Orhan Ademi,Switzerland,1991-10-28,Attack,Right,189,900000
13867,4750,Ricardo,Portugal,1976-02-11,Goalkeeper,Right,185,5400000
53424,23,Bjorn Kluft,Germany,1990-01-11,Attack,Both,180,450000
1659,23,Dennis Kruppke,Germany,1980-04-01,Attack,Both,179,675000
109793,23,Raffael Korte,Germany,1990-08-29,Attack,Both,175,540000
107872,23,Jonas Erwig Druppel,Germany,1991-07-20,Attack,Right,172,180000
34232,23,Jan Hochscheidt,Germany,1987-10-04,Attack,Both,180,1350000
30391,2410,Rasmus Elm,Sweden,1988-03-17,Midfield,Right,184,11700000
109792,23,Gianluca Korte,Germany,1990-08-29,Midfield,Left,177,270000
147049,23,Salim Khelifi,Tunisia,1994-01-26,Midfield,Right,172,1350000
18379,23,Damir Vrancic,Bosnia-Herzegovina,1985-10-04,Midfield,Both,184,900000
42974,23,Kevin Kratz,Germany,1987-01-21,Midfield,Right,173,900000
51106,23,Jan Washausen,Germany,1988-10-12,Midfield,Right,185,270000
104990,4750,Jakub Vojtus,Slovakia,1993-10-22,Attack,,186,495000
40116,23,Benjamin Kessel,Germany,1987-10-01,Defender,Right,191,810000
36255,23,Mirko Boland,Germany,1987-04-23,Attack,Left,172,1350000
42086,23,Timo Perthel,Germany,1989-02-11,Defender,Left,185,810000
292501,23,Mohammad Baghdadi,Germany,1996-10-30,Defender,Left,182,135000
