GameId,ClubID,Goals
2244388,418,2
2219794,498,2
2244389,131,1
2271112,60,1
2229332,16,1
2258406,3336,1
2240525,16866,1
2240524,2848,2
2504433,34455,1
2254419,16486,0
2254425,21337,0
2221759,27,4
2240246,979,1
2240245,1075,1
2243038,366,2
2243028,621,2
2243027,150,1
2252846,2990,0
2229916,58,1
2244655,1041,6
2224928,157,0
2243026,1084,1
2242979,368,1
2243021,714,0
2254432,7077,0
2245309,2804,1
2245298,1074,2
2245311,603,1
2245317,990,1
2245319,1237,0
2245321,1150,5
2225776,405,2
2225774,1032,2
2242968,1049,3
2225752,512,1
2225749,931,3
2225762,29,1
2225760,1039,0
2243020,331,2
2225737,985,5
2225751,281,2
2225799,1071,1
2225743,289,0
2225742,11,1
2243049,13,3
2225747,1123,3
2225768,762,2
2225766,984,0
2225761,180,1
2225756,148,2
2225803,631,2
2225798,631,1
2225790,29,0
2225796,11,1
2225800,180,0
2225797,762,0
2242963,3709,0
2225795,281,0
2225758,1032,4
2225757,405,2
2225781,289,1
2225784,985,1
2225783,2288,0
2225786,1039,0
2225788,31,6
2225792,984,3
2225791,1123,0
2225789,148,2
2243025,681,1
2225787,379,1
2225793,512,1
2225804,379,0
2225777,631,2
2225782,1071,0
2225778,1032,1
2225775,180,0
2225769,31,3
2225772,512,2
2225771,29,0
2225767,11,1
2225748,148,2
2225770,2288,3
2225755,984,0
2225765,985,2
2225753,289,3
2225773,762,1
2225763,379,1
2225750,1039,0
2225754,31,0
2225744,1123,1
2225807,281,2
2225802,1071,1
2225806,931,0
2225805,289,1
2245315,3537,6
2225746,29,2
2225745,931,1
2225741,11,2
2225740,405,3
2225801,180,2
2225719,1039,2
2225727,31,2
2225722,512,0
2225739,984,1
2225738,1123,0
2225721,1032,1
2225717,631,1
2225715,148,2
2225709,762,0
2225716,985,1
2225723,762,1
2225714,379,0
2225700,931,1
2225808,379,0
2225780,281,1
2225794,1071,3
2225701,984,0
2225699,31,1
2225764,2288,2
2225695,11,2
2225779,405,0
2225735,1071,0
2225785,931,0
2225704,281,0
2225720,29,0
2225733,512,1
2225706,1032,0
2225708,1039,2
2225734,405,2
2225730,289,1
2225705,281,1
2225713,11,1
2225736,631,3
2225728,1039,2
2225703,985,2
2225726,931,2
2225724,379,1
2225712,762,0
2225710,1032,1
2225707,984,0
2225759,2288,1
2250166,180,2
2225729,180,0
2250167,29,1
2225725,1123,0
2225711,985,2
2225697,289,1
2225696,1071,3
2250163,512,0
2250164,2288,0
2225698,1123,1
2250165,631,0
2250152,379,1
2225718,31,4
2250154,984,2
2250160,1039,1
2250159,11,1
2250162,405,1
2250156,931,0
2250161,762,1
2250145,31,2
2250149,148,1
2250144,985,1
2250151,180,2
2250150,2288,0
2225731,2288,1
2225702,148,3
2250146,631,2
2250142,512,0
2250147,1123,0
2250148,289,1
2258998,631,2
2258996,180,1
2259005,31,2
2259003,984,1
2258997,148,1
2259002,762,2
2259001,281,0
2259000,2288,0
2258999,1071,2
2258990,29,0
2250155,29,0
2258986,11,1
2258993,405,2
2250157,281,1
2258995,289,3
2258994,1039,1
2225732,148,2
2258991,512,1
2258989,1032,2
2258976,281,2
2258980,31,1
2258985,379,0
2258984,631,4
2259004,379,1
2250153,1071,1
2258988,931,0
2258979,1071,1
2258977,180,1
2258982,148,0
2258969,29,2
2258987,1123,0
2258966,1039,1
2258970,11,1
2258975,985,4
2258974,1123,1
2258972,1032,1
2250143,405,3
2258971,405,2
2250158,1032,1
2258962,31,3
2258958,631,2
2258956,762,3
2258964,180,3
2258963,379,0
2258961,281,4
2258960,984,0
2258983,984,2
2258957,1071,3
2258959,2288,2
2258978,2288,0
2258954,31,1
2258947,148,4
2258992,985,1
2258973,931,2
2258952,984,2
2258951,631,1
2258950,762,3
2258949,180,1
2258948,1071,1
2258936,405,0
2258965,148,2
2258946,379,1
2258943,1123,1
2258981,762,0
2258940,289,1
2258941,985,1
2258937,931,0
2258939,1039,0
2258938,1032,0
2258955,281,0
2258953,2288,0
2258935,379,0
2258944,29,2
2258945,11,1
2258931,931,1
2258930,1071,1
2258928,289,1
2258927,405,3
2258933,29,1
2258929,281,3
2258923,31,3
2258925,148,1
2258919,985,3
2258924,1039,2
2258932,11,5
2258921,631,3
2258934,2288,0
2258917,512,0
2258916,984,0
2250048,1071,0
2258942,512,0
2258968,512,0
2250052,512,1
2250050,405,1
2250047,29,1
2250046,180,0
2250045,148,3
2250044,2288,2
2250053,631,1
2250049,289,1
2250051,985,4
2225570,31,1
2258922,1123,4
2225569,984,1
2225565,762,1
2225559,1123,1
2250042,931,0
2250043,11,1
2225566,1039,0
2225564,379,1
2225550,281,0
2225551,762,0
2225563,31,0
2225560,379,0
2225556,11,0
2225557,1032,2
2225552,1039,1
2225549,1123,1
2225562,984,4
2225558,512,1
2225547,289,3
2258920,1032,0
2258926,180,2
2225561,931,0
2225554,631,1
2225548,1071,0
2225544,405,0
2258918,762,1
2225543,2288,2
2225555,1032,0
2225528,379,1
2225529,148,1
2225525,985,3
2225545,180,3
2258967,289,0
2225542,984,2
2225541,148,2
2225531,2288,1
2225527,289,1
2225536,180,0
2225571,281,2
2225513,762,1
2225540,281,0
2225539,1071,1
2225530,1123,0
2225537,931,3
2225534,512,0
2225515,29,2
2225524,31,1
2225533,1032,1
2225517,984,1
2225511,148,2
2225520,31,2
2225538,631,1
2225526,985,3
2225523,1039,0
2225518,379,1
2225512,289,0
2225535,405,1
2225504,29,1
2225502,762,1
2225503,11,0
2225521,180,1
2225532,1039,0
2225510,405,0
2225509,512,2
2225508,1032,0
2225507,281,2
2225505,1071,1
2225506,631,4
2225500,405,0
2225553,29,1
2225487,931,2
2225516,931,3
2238003,11,3
2225499,1039,2
2225489,1123,1
2225522,2288,0
2225492,289,0
2225495,379,2
2225476,984,1
2225488,1032,2
2225498,31,5
2225497,148,3
2225546,985,0
2225493,762,2
2225490,1071,0
2225477,180,1
2225475,631,2
2225484,11,1
2225483,1039,1
2225485,1123,0
2225496,281,2
2225514,11,1
2225462,985,2
2225480,931,2
2225478,1032,0
2225461,512,0
2225481,29,3
2225469,762,2
2225466,148,3
2225460,31,1
2225471,2288,0
2225470,180,1
2225468,984,0
2225467,1071,0
2225465,631,0
2225463,281,1
2225464,379,0
2225457,985,3
2225453,405,1
2225519,1123,1
2225491,512,0
2225458,1039,1
2225472,29,0
2225455,289,2
2225454,1123,1
2225479,289,1
2225459,1032,2
2225501,29,2
2225456,11,2
2225473,931,0
2225474,512,2
2225451,11,0
2225450,1039,1
2225448,984,1
2225447,931,2
2225494,2288,0
2225444,379,0
2230144,985,0
2230145,180,2
2230148,631,2
2230141,148,1
2230149,31,0
2230147,1123,0
2230146,289,0
2230143,512,1
2230142,405,0
2230140,2288,5
2245306,3884,1
2245308,1060,0
2245310,2814,2
2245312,1020,0
2245316,1003,4
2225486,985,3
2225443,1032,0
2245305,2455,1
2225446,1071,2
2245318,2793,0
2245288,2964,12
2245290,1132,3
2225482,405,1
2245302,1110,0
2245300,3697,2
2245294,3688,0
2225445,29,3
2245313,3717,6
2245307,873,2
2245304,991,6
2245293,703,1
2245291,1027,1
2245297,641,2
2245314,1148,0
2245299,2963,7
2245301,3054,0
2245320,2805,0
2245292,1194,7
2256475,543,3
2225449,762,0
2256476,1150,0
2256464,1072,2
2245295,1252,3
2256462,3008,2
2256479,3697,0
2256477,164,1
2225452,281,2
2256468,899,0
2256472,1074,0
2256474,641,2
2256459,984,4
2256461,1042,0
2256478,988,0
2245303,1035,4
2256480,2964,1
2256465,931,0
2245322,989,3
2256469,180,4
2256471,352,4
2256470,1071,4
2245289,349,4
2245296,2577,0
2256458,349,1
2256460,337,2
2262324,31,2
2256473,355,1
2262314,990,1
2262318,1032,3
2256456,873,1
2262315,1035,0
2262317,2288,3
2262323,289,2
2262310,1132,1
2262312,29,1
2262316,543,0
2262320,2963,2
2262322,405,4
2262311,1071,4
2262313,641,3
2256463,677,1
2262309,148,3
2267262,148,1
2267266,985,4
2267260,1027,4
2267264,11,7
2267259,405,3
2267261,180,0
2270925,631,5
2270922,641,0
2270923,405,4
2270924,11,3
2284500,2288,2
2284499,405,1
2284502,631,0
2284501,1027,1
2288121,2288,5
2256457,1027,2
2267265,641,1
2242967,131,2
2242966,897,1
2242965,367,2
2242962,3368,1
2267263,2288,3
2242960,237,0
2242959,418,3
2242970,940,2
2242974,150,0
2242992,621,2
2242958,714,0
2256466,2963,4
2242975,681,2
2242980,331,0
2242987,1049,1
2242976,1084,2
2242977,13,3
2242993,16795,2
2256467,2262,3
2242986,367,3
2243002,131,2
2243003,940,0
2242984,1049,4
2262321,762,1
2242991,897,0
2242961,142,0
2262319,2454,0
2242994,418,1
2242973,142,0
2242936,681,1
2242932,367,0
2242928,3368,1
2242939,13,0
2242940,150,2
2242927,714,0
2242937,1084,0
2242935,331,0
2242933,897,1
2242985,237,1
2242956,1049,2
2242990,3709,0
2242929,3709,1
2243001,368,0
2242943,237,2
2242930,418,2
2242955,131,2
2242942,940,1
2242946,142,1
2242944,16795,1
2242954,681,0
2242951,621,1
2242947,714,2
2242950,13,1
2242952,3368,0
2242945,150,1
2242949,366,1
2242953,367,1
2242957,940,0
2243194,418,3
2242964,131,3
2243184,16795,0
2242931,621,1
2242969,16795,0
2243196,331,0
2243186,1049,3
2243192,3709,1
2243193,368,3
2243182,621,1
2243195,897,4
2243181,13,0
2243187,366,1
2242941,1084,1
2242934,368,1
2243185,367,2
2243189,3368,1
2243179,1084,2
2243188,150,5
2243171,3709,0
2243168,16795,0
2243183,681,2
2242978,366,1
2243178,897,3
2243176,331,3
2243172,368,0
2243177,418,1
2243169,131,2
2243175,1084,3
2243162,3368,1
2243190,142,2
2243157,367,1
2243173,142,0
2243164,714,2
2243165,150,0
2243166,237,2
2243156,621,0
2243161,366,1
2243174,940,1
2243152,16795,0
2243155,13,2
2243154,418,2
2243191,237,0
2243159,1049,0
2242938,366,3
2243158,681,1
2243148,1084,1
2243163,897,0
2243167,681,2
2243143,940,1
2243136,150,3
2243149,13,0
2243140,366,0
2243142,237,2
2243150,3368,2
2243147,621,1
2243145,367,0
2243144,131,1
2242948,331,2
2243141,142,0
2243170,1049,1
2243180,714,2
2243124,714,0
2243127,16795,1
2243138,368,1
2243153,368,1
2243134,1049,2
2243135,3709,3
2243132,681,3
2243131,367,0
2243129,150,0
2243115,13,3
2243121,237,0
2243119,3368,1
2243120,142,0
2243130,131,2
2243118,621,0
2243146,714,0
2243122,940,1
2243137,897,1
2243108,13,1
2243139,418,2
2243110,681,2
2243114,3709,1
2243128,16795,3
2243125,368,1
2243109,1084,2
2243112,1049,1
2243126,1084,0
2243113,237,0
2243095,150,0
2243099,131,1
2243116,366,0
2243098,142,1
2243096,418,0
2243107,3368,2
2243100,897,1
2243105,940,0
2243101,621,2
2243160,3709,0
2243094,13,0
2243088,1084,3
2243102,331,1
2243097,150,0
2243104,3709,0
2243103,1049,3
2243092,714,0
2243106,367,1
2243087,366,1
2243151,331,1
2243082,418,5
2243086,621,1
2243093,681,1
2243081,142,0
2243015,16795,0
2243090,368,1
2243133,331,2
2243123,366,2
2243080,3368,0
2243073,16795,2
2243064,131,3
2243079,131,2
2243077,142,0
2243078,3368,0
2243063,368,0
2243075,897,1
2243074,418,0
2243084,897,1
2243089,940,1
2243085,367,2
2243067,3709,1
2243058,714,0
2243047,681,3
2243117,331,1
2243111,714,4
2243059,366,1
2243083,237,2
2243057,1049,2
2243091,367,0
2243037,142,2
2243061,16795,2
2243046,418,2
2243048,1084,0
2243062,150,2
2243066,940,0
2243070,3709,2
2243069,237,1
2243071,368,1
2243076,940,0
2243040,3368,0
2243036,150,1
2243065,897,0
2243056,714,2
2243033,367,1
2243044,3368,1
2243045,237,2
2243055,1084,2
2243051,681,0
2243068,621,1
2243060,13,1
2243035,13,1
2243032,897,0
2243053,940,0
2243050,331,1
2243034,366,0
2243013,1049,1
2243052,331,0
2243014,3709,1
2243018,368,2
2243041,366,2
2243016,142,1
2243022,3368,1
2243017,150,3
2243019,131,2
2243024,714,0
2243006,621,1
2243023,681,5
2243029,418,3
2243030,367,0
2242997,940,1
2242996,131,4
2243011,368,0
2242988,897,1
2243012,3709,2
2242995,418,0
2242999,1049,0
2243010,16795,0
2242989,237,0
2242998,331,0
2243042,13,0
2243072,131,3
2242983,13,1
2242972,366,1
2243005,237,1
2243054,237,0
2243043,142,2
2243004,621,1
2243008,3368,2
2243007,150,1
2242981,1084,0
2242915,418,2
2242971,367,0
2242924,3709,0
2242926,368,1
2243009,142,1
2242916,897,3
2242919,331,3
2242899,940,2
2242925,16795,2
2242914,150,4
2242879,3368,0
2242870,621,2
2242896,366,1
2243039,621,1
2242908,131,4
2242880,13,0
2242878,714,1
2242871,142,0
2242895,367,2
2242884,940,1
2242867,681,2
2242888,418,5
2242892,3709,2
2242907,16795,1
2242923,681,2
2242857,331,1
2242889,897,1
2243000,16795,0
2242858,1049,0
2242856,1084,0
2243031,1084,0
2242872,237,0
2242894,131,5
2242876,367,2
2242865,3368,1
2242855,131,5
2242859,621,2
2242854,940,0
2242877,366,1
2242982,714,1
2242853,418,2
2242844,1084,1
2242863,13,1
2242852,331,0
2242847,16795,2
2242846,1049,0
2242839,3709,1
2242862,897,1
2242845,681,0
2242848,368,0
2242842,237,0
2242906,13,1
2242841,3368,0
2242898,367,1
2242851,940,1
2242837,131,3
2242849,621,0
2242840,150,0
2242850,142,0
2242905,368,2
2242897,418,2
2242838,714,1
2242912,1084,0
2242913,681,1
2242902,1049,0
2242904,16795,0
2242893,368,1
2242903,3709,1
2242901,331,1
2242874,150,1
2242873,367,3
2242911,366,1
2242861,237,1
2242918,897,1
2242921,714,0
2242922,418,0
2242910,131,4
2242920,1049,1
2242875,3368,1
2242868,621,3
2242909,13,4
2242882,16795,0
2242883,714,2
2242887,366,0
2242886,368,0
2242890,681,0
2242885,3709,1
2242900,1084,1
2242891,331,0
2242829,621,0
2242830,3368,0
2242833,897,3
2242835,368,1
2242860,237,2
2242834,418,1
2242832,237,1
2242836,367,2
2242831,142,2
2242827,940,1
2244381,366,1
2244386,16795,0
2244387,331,0
2242864,150,0
2242866,142,2
2244382,1049,1
2244380,150,5
2244385,714,1
2244384,3709,1
2244383,1084,1
2240244,2990,1
2242828,131,2
2244379,13,1
2240234,1465,3
2240233,336,4
2240258,1301,0
2240255,294,1
2240254,982,3
2240253,1085,1
2242917,940,1
2240242,720,2
2240251,1436,1
2240257,2424,1
2240256,2995,1
2240252,4750,0
2240236,336,0
2240249,2424,1
2240250,1301,2
2240240,2990,1
