GameId,ClubID,Goals
2244388,131,3
2219794,58,3
2244389,418,2
2271112,48,0
2229332,27,2
2258406,2423,3
2240525,19934,4
2240524,2821,4
2504433,7474,4
2254419,2497,2
2254425,20963,3
2221759,109,0
2240246,294,3
2240245,1085,0
2243038,237,4
2243028,367,2
2243027,3368,1
2252846,720,1
2229916,601,1
2244655,969,4
2224928,2282,0
2243026,131,4
2242979,331,2
2243021,940,1
2254432,21322,1
2245309,337,5
2245298,1219,1
2245311,1302,2
2245317,3696,0
2245319,352,3
2245321,358,4
2225776,1071,2
2225774,379,4
2242968,368,4
2225752,180,1
2225749,2288,0
2225762,631,2
2225760,31,1
2243020,418,4
2225737,984,5
2225751,1032,0
2225799,11,4
2225743,148,1
2225742,762,0
2243049,142,1
2225747,281,2
2225768,1039,1
2225766,1123,4
2225761,289,1
2225756,512,1
2225803,405,1
2225798,985,0
2225790,31,0
2225796,1039,0
2225800,148,1
2225797,379,0
2242963,16795,2
2225795,2288,0
2225758,931,2
2225757,1123,1
2225781,405,6
2225784,11,1
2225783,631,2
2225786,1032,0
2225788,762,0
2225792,180,0
2225791,512,1
2225789,1071,2
2243025,897,0
2225787,281,2
2225793,289,1
2225804,29,2
2225777,31,2
2225782,379,2
2225778,1123,2
2225775,2288,0
2225769,931,1
2225772,1039,0
2225771,289,1
2225767,931,0
2225748,631,2
2225770,1071,2
2225755,281,1
2225765,512,0
2225753,762,0
2225773,984,1
2225763,180,1
2225750,29,2
2225754,1032,0
2225744,11,3
2225807,985,1
2225802,1039,1
2225806,762,1
2225805,631,2
2245315,1028,3
2225746,148,2
2225745,405,1
2225741,984,1
2225740,512,1
2225801,1032,0
2225719,931,3
2225727,405,1
2225722,29,1
2225739,379,3
2225738,1071,1
2225721,11,4
2225717,180,2
2225715,2288,1
2225709,281,4
2225716,289,0
2225723,1071,2
2225714,631,2
2225700,148,0
2225808,31,0
2225780,148,3
2225794,984,2
2225701,512,0
2225699,180,3
2225764,1123,2
2225695,2288,0
2225779,985,3
2225735,281,1
2225785,29,1
2225704,29,2
2225720,11,0
2225733,762,2
2225706,985,1
2225708,405,3
2225734,1032,1
2225730,1039,3
