"ClubID","ClubName","FullClubName","MarketValue","SquadSize","AverageAge","ForeignersNumber","ForeignersPercentage","NationalTeamPlayers","StadiumName","StadiumSeats","NetTransferRecord","CoachName"
"1032","fc-reading","Fc Reading","33.66","26","25.9","12","46.2","6","Select Car Leasing Stadium","24161","+Â£8.37m","Brian McDermott"
"2323","orduspor","Orduspor","","0","","0","","0","19 EylÃ¼l Stadyum","11024","+-0","HÃ©ctor CÃºper"
"1387","acn-siena-1904","Acn Siena 1904","4.32","30","26.2","6","20","2","Artemio Franchi","15373","Â£-6Th.","Serse Cosmi"
"3592","kryvbas-kryvyi-rig","Kryvbas Kryvyi Rig","2.95","24","24.5","2","8.3","0","Shakhty Zhovtneva","2500","Â£-270Th.","Oleg Taran"
"1071","wigan-athletic","Wigan Athletic","12.38","29","26.5","14","48.3","6","DW Stadium","25133","Â£-140Th.","Roberto MartÃ­nez"
"2703","spartak-vladikavkaz","Spartak Vladikavkaz","","1","20","0","","0","Republican Stadium Spartak","32464","+-0","Vladimir Gazzaev"
"142","real-saragossa","Real Saragossa","22.86","24","26.6","5","20.8","0","La Romareda","33068","+-0","Manolo JimÃ©nez"
"566","beerschot-ac","Beerschot Ac","","0","","0","","0","Olympisch Stadion","12771","+-0","Adrie Koster"
"1436","sc-beira-mar","Sc Beira Mar","135","22","27.5","9","40.9","0","EstÃ¡dio MÃ¡rio Duarte","12000","+-0","Ulisses Morais"
"4750","sc-olhanense","Sc Olhanense","68","22","24.1","9","40.9","0","EstÃ¡dio JosÃ© Arcanjo","10080","+-0","Abel Xavier"
"23","eintracht-braunschweig","Eintracht Braunschweig","6.48","27","24.9","3","11.1","0","EINTRACHT-Stadion","23325","+-0","Torsten Lieberknecht"
"2227","sk-tavriya-simferopol","Sk Tavriya Simferopol","","0","","0","","0","RS Lokomotiv","19978","+-0","Giannis Christopoulos"
"12438","volga-nizhniy-novgorod","Volga Nizhniy Novgorod","","0","","0","","0","Zentralstadion Lokomotiv","17856","+-0","Yuriy Kalitvintsev"
"2292","elazigspor","Elazigspor","563","40","23.2","0","","0","ElazÄ±ÄŸ DoÄŸukent StadÄ±","2500","+Â£44Th.","Trond Sollied"
"1210","as-livorno","As Livorno","225","25","27","0","","0","Armando Picchi","19238","+-0","Davide Nicola"
"1627","catania-calcio","Catania Calcio","6.56","25","26.8","5","20","0","Cibali - Angelo Massimino","20016","+-0","Rolando Maran"
"16245","fk-sevastopol","Fk Sevastopol","","0","","0","","0","SK Sevastopol","5826","+-0","Oleg Kononov"
"1423","fc-valenciennes","Fc Valenciennes","18.41","29","25.6","11","37.9","2","Stade du Hainaut","25000","+Â£1.35m","Daniel Sanchez"
"750","fc-sochaux-montbeliard","Fc Sochaux Montbeliard","17.51","24","24.8","8","33.3","3","Stade Auguste-Bonal","20005","+Â£720Th.","Eric HÃ©ly"
"1147","ac-ajaccio","Ac Ajaccio","16.52","25","26.8","10","40","7","Stade FranÃ§ois-Coty","10446","+-0","Fabrizio Ravanelli"
"1411","raec-mons","Raec Mons","","0","","0","","0","Charles Tondreau Stadion","12662","+-0","Enzo Scifo"
"3302","ud-almeria","Ud Almeria","51.66","25","25.7","10","40","2","Estadio de los Juegos MediterrÃ¡neos","15274","Â£-4.82m","Francisco RodrÃ­guez"
"5572","niki-volou","Niki Volou","3.4","24","28","6","25","1","Panthessaliko Stadio","22700","+-0","Wiljan Vloet"
"20698","balikesirspor","Balikesirspor","1.58","30","24.6","9","30","1","BalÄ±kesir AtatÃ¼rk","15800","+-0","Ismail Ertekin"
"6894","kayseri-erciyesspor","Kayseri Erciyesspor","","0","","0","","0","Kayseri AtatÃ¼rk Spor Kompleksi Yan AÃ§Ä±k Saha","2000","+-0","Hikmet Karaman"
