CompetitionID,CompetitionName,CompetitionType,DomesticLeagueCode,Confederation
L1,bundesliga,first_tier,L1,europa
DFB,dfb-pokal,domestic_cup,L1,europa
DFL,dfl-supercup,domestic_super_cup,L1,europa
NL1,eredivisie,first_tier,NL1,europa
NLP,toto-knvb-beker,domestic_cup,NL1,europa
NLSC,johan-cruijff-schaal,domestic_super_cup,NL1,europa
BE1,jupiler-pro-league,first_tier,BE1,europa
BESC,belgian-supercup,domestic_super_cup,BE1,europa
ES1,laliga,first_tier,ES1,europa
CDR,copa-del-rey,domestic_cup,ES1,europa
SUC,supercopa,domestic_super_cup,ES1,europa
PO1,liga-portugal-bwin,first_tier,PO1,europa
POCP,allianz-cup,domestic_cup,PO1,europa
POSU,supertaca-candido-de-oliveira,domestic_super_cup,PO1,europa
FR1,ligue-1,first_tier,FR1,europa
FRCH,trophee-des-champions,domestic_super_cup,FR1,europa
GB1,premier-league,first_tier,GB1,europa
CGB,efl-cup,domestic_cup,GB1,europa
GBCS,community-shield,domestic_super_cup,GB1,europa
RU1,premier-liga,first_tier,RU1,europa
RUP,russian-cup,domestic_cup,RU1,europa
RUSS,russian-super-cup,domestic_super_cup,RU1,europa
UKR1,premier-liga,first_tier,UKR1,europa
UKRP,ukrainian-cup,domestic_cup,UKR1,europa
UKRS,ukrainian-super-cup,domestic_super_cup,UKR1,europa
SC1,scottish-premiership,first_tier,SC1,europa
SFA,sfa-cup,domestic_cup,SC1,europa
IT1,serie-a,first_tier,IT1,europa
CIT,italy-cup,domestic_cup,IT1,europa
SCI,supercoppa-italiana,domestic_super_cup,IT1,europa
GR1,super-league-1,first_tier,GR1,europa
GRP,kypello-elladas,domestic_cup,GR1,europa
TR1,super-lig,first_tier,TR1,europa
DK1,superligaen,first_tier,DK1,europa
DKP,sydbank-pokalen,domestic_cup,DK1,europa
USC,uefa-super-cup,uefa_super_cup,,europa
CL,uefa-champions-league,uefa_champions_league,,europa
EL,europa-league,europa_league,,europa
KLUB,fifa-klub-wm,fifa_club_world_cup,,europa
ECLQ,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,,europa
CLQ,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,,europa
ELQ,europa-league-qualifikation,europa_league_qualifying,,europa
