GameId,Season,date,stadium,attendance,referee
2244388,2012,2012-08-22,Camp Nou,91728,Carlos Clos GÃ³mez
2219794,2011,2012-07-22,Constant Vanden Stock Stadion,14485,Laurent Colemonts
2244389,2012,2012-08-29,Santiago BernabÃ©u,80000,MatÃ©u Lahoz
2271112,2012,2012-12-18,BBBank Wildpark,28200,Dr. Jochen Drees
2229332,2012,2012-08-12,Allianz Arena,69000,Michael Weiner
2258406,2012,2012-08-05,EstÃ¡dio de SÃ£o Miguel,390,Rui Costa
2240525,2012,2012-08-22,Sportpark De Dem,400,
2240524,2012,2012-08-22,Sportpark Ter Specke,,Rob Souwen
2504433,2012,2012-08-22,Sportpark Duinwetering,400,Jeroen Spinhoven
2254419,2012,2012-08-30,Carlos Tartiere,6100,JosÃ© Luis Corral GarcÃ­a
2254425,2012,2012-08-29,Nou Camp de Inca,,JosÃ© Antonio Salas Montoro
2221759,2012,2012-08-20,Jahnstadion,12500,Guido Winkmann
2240246,2012,2013-05-19,EstÃ¡dio da Luz,51349,Marco Ferreira
2240245,2012,2013-05-19,EstÃ¡dio do Bonfim,3900,Artur Soares Dias
2243038,2012,2013-06-01,Son Moix,19000,Carlos del Cerro Grande
2243028,2012,2013-06-01,Campo de FÃºtbol de Vallecas,10000,CÃ©sar MuÃ±iz FernÃ¡ndez
2243027,2012,2013-06-01,Ciutat de ValÃ¨ncia,13045,Fernando Teixeira Vitienes
2252846,2012,2012-08-11,EstÃ¡dio do DragÃ£o,26000,OlegÃ¡rio BenquerenÃ§a
2229916,2011,2012-07-28,Guldensporenstadion,8200,Christof Dierick
2244655,2011,2012-07-28,,15166,Jorge Gonzalez
2224928,2012,2013-01-27,Jan-Breydel-Stadion,26039,SÃ©bastien DelferiÃ¨re
2243026,2012,2013-06-01,Camp Nou,65727,Miguel Ãngel Ayza GÃ¡mez
2242979,2012,2013-05-26,El Sadar,19594,CÃ©sar MuÃ±iz FernÃ¡ndez
2243021,2012,2013-06-01,BalaÃ­dos,30000,MatÃ©u Lahoz
2254432,2012,2012-08-30,Estadio El Palmar,,AndrÃ©s Manuel Ceballos Silva
2245309,2012,2012-08-14,St Andrew's,9905,Lee Collins
2245298,2012,2012-08-14,Proact Stadium,3088,David Webb
2245311,2012,2012-08-14,Sixfields Stadium,2819,David Phillips
2245317,2012,2012-08-14,Victoria Road,1904,Ian Williamson
2245319,2012,2012-08-14,County Ground,5737,Andy D'Urso
2245321,2012,2012-08-14,The Valley,5914,Gavin Ward
2225776,2012,2013-05-19,DW Stadium,23001,Neil Swarbrick
2225774,2012,2013-05-19,Boleyn Ground,34973,Mike Dean
2242968,2012,2013-06-01,RamÃ³n SÃ¡nchez Pizjuan,35000,Carlos Clos GÃ³mez
2225752,2012,2013-05-19,St Mary's Stadium,31539,Lee Probert
2225749,2012,2013-05-19,Swansea.com Stadium,20365,Lee Mason
2225762,2012,2013-05-19,Stamford Bridge,41794,Anthony Taylor
2225760,2012,2013-05-19,Anfield,44792,Martin Atkinson
2243020,2012,2013-06-01,Santiago BernabÃ©u,55000,Miguel Ãngel PÃ©rez Lasa
2225737,2012,2013-05-19,The Hawthorns,23438,Michael Oliver
2225751,2012,2013-05-14,Select Car Leasing Stadium,22859,Martin Atkinson
2225799,2012,2013-05-14,Emirates Stadium,60068,Mike Dean
2225743,2012,2013-05-19,White Hart Lane,36763,Andre Marriner
2225742,2012,2013-05-19,St James' Park,52354,Howard Webb
2243049,2012,2013-06-01,La Romareda,28000,Estrada FernÃ¡ndez
2225747,2012,2013-05-19,Etihad Stadium,47054,Mark Halsey
2225768,2012,2013-05-12,Kiyan Prince Foundation Stadium,17278,Lee Probert
2225766,2012,2013-05-12,Carrow Road,26837,Howard Webb
2225761,2012,2013-05-12,Stadium of Light,41988,Mike Dean
2225756,2012,2013-05-12,bet365 Stadium,27531,Kevin Friend
2225803,2012,2013-05-11,Villa Park,42084,Lee Mason
2225798,2012,2013-05-05,Old Trafford,75500,Howard Webb
2225790,2012,2013-05-05,Anfield,44991,Michael Oliver
2225796,2012,2013-05-04,Kiyan Prince Foundation Stadium,18178,Jonathan Moss
2225800,2012,2013-05-04,White Hart Lane,36190,Mark Clattenburg
2225797,2012,2013-05-04,Boleyn Ground,34962,Phil Dowd
2242963,2012,2013-06-01,Nuevo Los CÃ¡rmenes,19000,Alejandro HernÃ¡ndez
2225795,2012,2013-05-04,Swansea.com Stadium,20242,Mike Jones
2225758,2012,2013-05-04,Craven Cottage,24087,Neil Swarbrick
2225757,2012,2013-05-04,Carrow Road,26842,Kevin Friend
2225781,2012,2013-04-29,Villa Park,37428,Lee Probert
2225784,2012,2013-04-28,Emirates Stadium,60112,Phil Dowd
2225783,2012,2013-04-28,Stamford Bridge,41780,Mark Clattenburg
2225786,2012,2013-04-28,Select Car Leasing Stadium,23388,Kevin Friend
2225788,2012,2013-04-27,St James' Park,52351,Andre Marriner
2225792,2012,2013-04-27,St Mary's Stadium,31946,Bobby Madley
2225791,2012,2013-04-27,bet365 Stadium,27488,Anthony Taylor
2225789,2012,2013-04-27,DW Stadium,22326,Martin Atkinson
2243025,2012,2013-06-01,Riazor,34600,David FernÃ¡ndez BorbalÃ¡n
2225787,2012,2013-04-27,Etihad Stadium,47189,Howard Webb
2225793,2012,2013-05-06,Stadium of Light,38130,Lee Mason
2225804,2012,2013-05-12,Goodison Park,39475,Phil Dowd
2225777,2012,2013-04-21,Anfield,45009,Kevin Friend
2225782,2012,2013-04-20,Boleyn Ground,34544,Neil Swarbrick
2225778,2012,2013-04-20,Carrow Road,26460,Mike Dean
2225775,2012,2013-04-20,Swansea.com Stadium,22561,Mark Halsey
2225769,2012,2013-05-12,Craven Cottage,25640,Mark Halsey
2225772,2012,2013-04-20,Kiyan Prince Foundation Stadium,17391,Chris Foy
2225771,2012,2013-04-20,Stadium of Light,44614,Phil Dowd
2225767,2012,2013-04-20,Craven Cottage,25700,Andre Marriner
2225748,2012,2013-05-08,Stamford Bridge,41581,Mike Dean
2225770,2012,2013-05-07,DW Stadium,18550,Kevin Friend
2225755,2012,2013-05-07,Etihad Stadium,46158,Phil Dowd
2225765,2012,2013-04-14,bet365 Stadium,27191,Jonathan Moss
2225753,2012,2013-04-14,St James' Park,52355,Howard Webb
2225773,2012,2013-04-20,The Hawthorns,25671,Mike Jones
2225763,2012,2013-04-13,St Mary's Stadium,31984,Mike Dean
2225750,2012,2013-04-13,Goodison Park,34876,Lee Mason
2225754,2012,2013-04-13,Select Car Leasing Stadium,24139,Mark Clattenburg
2225744,2012,2013-04-13,Emirates Stadium,60095,Mike Jones
2225807,2012,2013-04-08,Old Trafford,75498,Mike Dean
2225802,2012,2013-04-07,Kiyan Prince Foundation Stadium,16658,Phil Dowd
2225806,2012,2013-04-07,St James' Park,51847,Kevin Friend
2225805,2012,2013-04-07,Stamford Bridge,41500,Neil Swarbrick
2245315,2012,2012-08-14,The Den,4050,Dean Whitestone
2225746,2012,2013-04-07,White Hart Lane,36192,Andre Marriner
2225745,2012,2013-04-13,Villa Park,37011,Phil Dowd
2225741,2012,2013-04-06,The Hawthorns,26144,Howard Webb
2225740,2012,2013-04-06,bet365 Stadium,27544,Mark Clattenburg
2225801,2012,2013-04-06,Select Car Leasing Stadium,24108,Mike Jones
2225719,2012,2013-04-01,Craven Cottage,25117,Lee Probert
2225727,2012,2013-03-31,Villa Park,42037,Lee Mason
2225722,2012,2013-03-30,Goodison Park,33977,Mike Jones
2225739,2012,2013-03-30,Boleyn Ground,34966,Andre Marriner
2225738,2012,2013-03-30,DW Stadium,17784,Howard Webb
2225721,2012,2013-03-30,Emirates Stadium,60082,Chris Foy
2225717,2012,2013-03-30,St Mary's Stadium,31779,Jonathan Moss
2225715,2012,2013-03-30,Swansea.com Stadium,20604,Anthony Taylor
2225709,2012,2013-03-30,Etihad Stadium,47201,Neil Swarbrick
2225716,2012,2013-03-30,Stadium of Light,43760,Kevin Friend
2225723,2012,2013-03-17,DW Stadium,22297,Mark Halsey
2225714,2012,2013-03-17,Stamford Bridge,41639,Michael Oliver
2225700,2012,2013-03-17,White Hart Lane,36004,Mike Jones
2225808,2012,2013-04-07,Anfield,45007,Anthony Taylor
2225780,2012,2013-04-21,White Hart Lane,36121,Lee Mason
2225794,2012,2013-05-04,The Hawthorns,25756,Lee Probert
2225701,2012,2013-03-16,bet365 Stadium,26137,Mike Dean
2225699,2012,2013-03-16,St Mary's Stadium,32070,Phil Dowd
2225764,2012,2013-04-06,Carrow Road,26372,Michael Oliver
2225695,2012,2013-03-16,Swansea.com Stadium,20583,Jonathan Moss
2225779,2012,2013-04-22,Old Trafford,75591,Anthony Taylor
2225735,2012,2013-04-17,Etihad Stadium,47106,Anthony Taylor
2225785,2012,2013-04-27,Goodison Park,34563,Jonathan Moss
2225704,2012,2013-03-16,Goodison Park,36519,Lee Probert
2225720,2012,2013-04-16,Emirates Stadium,60071,Neil Swarbrick
2225733,2012,2013-03-10,St James' Park,50703,Andre Marriner
2225706,2012,2013-03-16,Old Trafford,75605,Lee Mason
2225708,2012,2013-03-16,Villa Park,38594,Kevin Friend
2225734,2012,2013-03-09,Select Car Leasing Stadium,24102,Jonathan Moss
2225730,2012,2013-03-09,Kiyan Prince Foundation Stadium,18169,Mike Jones
2225705,2012,2013-03-04,Villa Park,33217,Mike Dean
2225713,2012,2013-03-03,White Hart Lane,36170,Mark Clattenburg
2225736,2012,2013-04-17,Craven Cottage,25002,Mike Dean
2225728,2012,2013-03-02,St Mary's Stadium,31728,Howard Webb
2225703,2012,2013-04-17,Boleyn Ground,34629,Lee Probert
2225726,2012,2013-03-02,Stadium of Light,39312,Mark Halsey
2225724,2012,2013-03-02,bet365 Stadium,22690,Jonathan Moss
2225712,2012,2013-03-02,Swansea.com Stadium,20405,Craig Pawson
2225710,2012,2013-03-02,Goodison Park,35244,Anthony Taylor
2225707,2012,2013-03-02,Stamford Bridge,41548,Kevin Friend
2225759,2012,2013-05-12,Old Trafford,75572,Jonathan Moss
2250166,2012,2013-02-24,St James' Park,52259,Chris Foy
2225729,2012,2013-03-09,Carrow Road,26783,Mark Clattenburg
2250167,2012,2013-02-23,Carrow Road,26828,Lee Mason
2225725,2012,2013-03-02,Old Trafford,75586,Neil Swarbrick
2225711,2012,2013-02-23,Kiyan Prince Foundation Stadium,18337,Anthony Taylor
2225697,2012,2013-02-23,The Hawthorns,25924,Roger East
2225696,2012,2013-02-23,Select Car Leasing Stadium,22321,Phil Dowd
2250163,2012,2013-02-23,Craven Cottage,25458,Lee Probert
2250164,2012,2013-02-17,Anfield,44832,Howard Webb
2225698,2012,2013-03-17,Stadium of Light,38625,Chris Foy
2250165,2012,2013-02-24,Etihad Stadium,47256,Andre Marriner
2250152,2012,2013-02-10,Villa Park,30503,Mark Clattenburg
2225718,2012,2013-03-02,DW Stadium,20804,Martin Atkinson
2250154,2012,2013-02-11,Anfield,44752,Jonathan Moss
2250160,2012,2013-02-09,Swansea.com Stadium,20529,Neil Swarbrick
2250159,2012,2013-02-09,Stadium of Light,46402,Anthony Taylor
2250162,2012,2013-02-23,Emirates Stadium,60079,Martin Atkinson
2250156,2012,2013-02-09,Carrow Road,26816,Howard Webb
2250161,2012,2013-02-09,White Hart Lane,36244,Phil Dowd
2250145,2012,2013-02-03,Etihad Stadium,47301,Anthony Taylor
2250149,2012,2013-02-03,The Hawthorns,24978,Mark Clattenburg
2250144,2012,2013-02-02,Craven Cottage,25670,Kevin Friend
2250151,2012,2013-02-02,DW Stadium,18598,Andre Marriner
2250150,2012,2013-02-02,Boleyn Ground,34962,Lee Probert
2225731,2012,2013-03-09,The Hawthorns,24832,Lee Mason
2225702,2012,2013-02-25,Boleyn Ground,35005,Howard Webb
2250146,2012,2013-02-02,St James' Park,52314,Howard Webb
2250142,2012,2013-02-02,Emirates Stadium,59872,Chris Foy
2250147,2012,2013-02-02,Kiyan Prince Foundation Stadium,17543,Jonathan Moss
2250148,2012,2013-02-02,Select Car Leasing Stadium,23829,Lee Mason
2258998,2012,2013-01-30,Select Car Leasing Stadium,24097,Mark Halsey
2258996,2012,2013-01-30,Old Trafford,75600,Lee Mason
2259005,2012,2013-01-30,Emirates Stadium,60089,Kevin Friend
2259003,2012,2013-01-30,Goodison Park,31376,Michael Oliver
